THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260907; descriptive; 647 rows; 27s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | sport2w2 | W1 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 16/37 (0.0) | 24.3 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W13 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.40 | 30.6 (2.6) [yes] | 16.6 | 0.0 | 2/3 (0.0) | 31.4 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport2w2 | W13 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 0.04 | 67.2 (23.5) [no] | 0.1 | 0.0 | 11/24 (0.0) | 57.2 | 0.001 | 0.0 | - | - | 0/0 | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W13 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 98.05 | -29.4 (61.2) [no] | 97.4 | 98.2 | 0/0 (100.0) | 3.0 | 0.000 | 98.0 | - | - | 0/0 | -/0.0 | - | - | - / 98.0 | -
full | sport2w2 | W13 |  | strat_t256 | strat512 | 256 | 1 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 11/28 (0.0) | 243.0 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W13 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/2 (0.0) | 31.6 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W13 |  | strat_t64 | strat512 | 64 | 7 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 11/28 (0.0) | 59.0 | 0.000 | 0.4 | - | - | 7/7 | -/0.4 | - | - | - / - | -
full | sport2w2 | W13 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 8/25 (0.0) | 48.7 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W1s1 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.7 (1.8) [yes] | 16.2 | 0.0 | 2/3 (0.0) | 30.8 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport2w2 | W1s1 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 6.40 | 63.5 (62.4) [no] | 28.7 | 2.6 | 16/36 (0.0) | 25.5 | 0.000 | 6.4 | - | - | 0/0 | -/0.0 | - | - | - / 6.4 | -
full | sport2w2 | W1s1 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 92.38 | - (-) [no] | 94.7 | 92.0 | 0/0 (100.0) | 3.5 | 0.000 | 92.4 | - | - | 0/0 | -/0.0 | - | - | - / 92.4 | -
full | sport2w2 | W1s1 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 1.17 | 41.8 (15.8) [no] | 3.9 | 0.7 | 17/36 (0.0) | 26.0 | 0.000 | 14.3 | - | - | 5/14 | -/13.2 | - | - | - / 14.3 | -
full | sport2w2 | W1s1 |  | strat_t6 | strat512 | 6 | 10 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/3 (0.0) | 30.9 | 0.000 | 1.6 | - | - | 0/10 | -/0.2 | - | - | - / - | -
full | sport2w2 | W1s1 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 5.47 | - (-) [no] | 25.0 | 2.1 | 17/33 (0.0) | 25.7 | 0.000 | 22.1 | - | - | 3/14 | -/17.6 | - | - | - / 22.1 | -
full | sport2w2 | W1s1 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 9.38 | - (-) [no] | 13.3 | 8.2 | 16/26 (0.0) | 27.8 | 0.000 | 9.4 | - | - | 0/0 | -/0.0 | - | - | - / 9.4 | -
full | sport2w2 | W2 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.6 (1.5) [yes] | 16.2 | 0.0 | 3/3 (0.0) | 33.2 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport2w2 | W2 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 19.37 | 29.1 (11.0) [yes] | 86.6 | 8.0 | 17/33 (0.0) | 30.9 | 0.000 | 19.4 | - | - | 0/0 | -/0.0 | - | - | - / 19.4 | -
full | sport2w2 | W2 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 99.80 | - (-) [no] | 100.0 | 99.8 | 0/0 (100.0) | 3.0 | 0.000 | 99.8 | - | - | 0/0 | -/0.0 | - | - | - / 99.8 | -
full | sport2w2 | W2 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 20.12 | 29.1 (11.3) [yes] | 81.6 | 9.4 | 16/41 (0.0) | 34.7 | 0.000 | 24.0 | - | - | 0/4 | -/4.9 | - | - | - / 24.0 | -
full | sport2w2 | W2 |  | strat_t6 | strat512 | 6 | 2 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/3 (0.0) | 32.8 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W2 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 19.34 | 29.4 (11.6) [yes] | 80.3 | 8.7 | 16/32 (0.0) | 30.2 | 0.000 | 23.2 | - | - | 0/5 | -/4.8 | - | - | - / 23.2 | -
