THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260909; descriptive; 75 rows; 4s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | champ | C0 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 94.76 | 10.4 (21.9) [no] | 99.9 | 93.9 | 1/5 (36.7) | 32.6 | 0.014 | 94.8 | - | - | 0/0 | -/0.0 | - | - | - / 94.8 | -
full | champ | C5 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 95.91 | 8.2 (23.2) [no] | 99.8 | 95.2 | 2/6 (17.8) | 35.0 | 0.020 | 95.9 | - | - | 0/0 | -/0.0 | - | - | - / 95.9 | -
full | champ | C5 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 88.91 | -6.1 (65.8) [no] | 96.1 | 87.7 | 2/7 (2.8) | 30.4 | 0.024 | 88.9 | - | - | 0/0 | -/0.0 | - | - | - / 88.9 | -
full | champ | C5 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 99.10 | -20.3 (42.3) [no] | 99.9 | 99.0 | 2/8 (17.3) | 32.3 | 0.023 | 99.1 | - | - | 0/0 | -/0.0 | - | - | - / 99.1 | -
full | champ | C5 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 99.42 | -11.9 (31.4) [no] | 99.8 | 99.4 | 2/8 (17.4) | 30.3 | 0.035 | 99.4 | - | - | 0/0 | -/0.0 | - | - | - / 99.4 | -
full | champ | C5 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 99.60 | -2.3 (21.5) [no] | 99.7 | 99.6 | 2/8 (16.0) | 26.1 | 0.080 | 99.6 | - | - | 0/0 | -/0.0 | - | - | - / 99.6 | -
full | champ | C6 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 90.05 | 15.3 (19.0) [no] | 99.8 | 88.4 | 1/4 (20.3) | 27.3 | 0.014 | 90.1 | - | - | 0/0 | -/0.0 | - | - | - / 90.1 | -
full | champ | C6 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 95.62 | 9.4 (22.0) [no] | 99.9 | 94.9 | 1/5 (30.7) | 34.4 | 0.018 | 95.6 | - | - | 0/0 | -/0.0 | - | - | - / 95.6 | -
full | champ | C6 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 90.36 | 14.4 (20.6) [no] | 99.5 | 88.8 | 1/5 (22.3) | 27.0 | 0.010 | 90.4 | - | - | 0/0 | -/0.0 | - | - | - / 90.4 | -
full | champ | C6 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.50 | -12.1 (38.9) [no] | 100.0 | 98.3 | 1/6 (29.9) | 32.4 | 0.020 | 98.5 | - | - | 0/0 | -/0.0 | - | - | - / 98.5 | -
full | champ | C6 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 98.98 | -40.0 (62.5) [no] | 100.0 | 98.8 | 1/6 (29.6) | 30.3 | 0.025 | 99.0 | - | - | 0/0 | -/0.0 | - | - | - / 99.0 | -
full | champ | C6 |  | sub20k_t16_commit | scan20k | 16 | 1 | dec | True | 20000 | 95.61 | 8.3 (23.6) [no] | 100.0 | 94.9 | 1/5 (30.7) | 33.9 | 0.025 | 95.6 | - | - | 0/0 | -/0.0 | - | - | - / 95.6 | -
full | champ | C6 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 99.34 | - (-) [no] | 100.0 | 99.2 | 1/6 (29.1) | 30.0 | 0.020 | 99.3 | - | - | 0/0 | -/0.0 | - | - | - / 99.3 | -
scan | champ | C0 |  |  | sub5000 | 64 | 32 | dec | True | 5000 | 98.48 | -2.8 (29.2) [no] | 100.0 | 98.2 | 1/7 (24.2) | 32.0 | 0.020 | 99.6 | 98.7 | 1.000 | 0/0 | 39.5/72.4 | 0.999 | 0.0 | 99.6 / 99.6 | -
scan | champ | C1 |  |  | sub5000 | 64 | 32 | dec | True | 5000 | 97.56 | -8.6 (40.0) [no] | 99.9 | 97.2 | 1/6 (20.5) | 30.1 | 0.040 | 99.3 | 97.6 | 1.000 | 0/0 | 26.2/71.3 | 0.999 | 0.1 | 99.3 / 99.3 | -
scan | champ | C2 |  |  | sub5000 | 64 | 32 | dec | True | 5000 | 98.72 | -14.1 (39.5) [no] | 100.0 | 98.5 | 1/6 (25.5) | 32.5 | 0.000 | 99.7 | 98.8 | 1.000 | 0/0 | 32.8/76.6 | 1.000 | 0.0 | 99.7 / 99.7 | -
scan | champ | C3 |  |  | sub5000 | 64 | 32 | dec | True | 5000 | 98.12 | 0.4 (27.2) [no] | 100.0 | 97.8 | 1/7 (28.3) | 31.4 | 0.020 | 99.5 | 98.3 | 1.000 | 0/0 | 37.2/73.4 | 0.999 | 0.1 | 99.5 / 99.5 | -
scan | champ | C4 |  |  | sub5000 | 64 | 32 | dec | True | 5000 | 98.78 | - (-) [no] | 100.0 | 98.6 | 1/5 (29.1) | 32.7 | 0.020 | 99.6 | 99.0 | 1.000 | 0/0 | 36.1/70.5 | 1.000 | 0.0 | 99.6 / 99.6 | -
