== EVAL ARTIFACTS on disk: 694 ==
kind | arm | sub | n | t | k | subset | cell | ema | init | recs | ckpt
full | psport2w2W4 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
full | psport2w2W4 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
full | psport2w2W4 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
full | psport2w2W4 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
full | psport2w2W4 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
full | psport2w2W4 | val_t64 | 64 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
full | psport2w2W4s1 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W4s1 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W4s1 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W4s1 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W4s1 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W4s1 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W4s1 | val_t64 | 64 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W4s1/ckpt_latest.pkl
full | psport2w2W5 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W5 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W5 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W5 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W5 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W5 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W5 | val_t64 | 64 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W5/ckpt_latest.pkl
full | psport2w2W6 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W6 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W6 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W6 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W6 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W6 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W6 | val_t64 | 64 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W6/ckpt_latest.pkl
full | psport2w2W7 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W7/ckpt_latest.pkl
full | psport2w2W7 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W7/ckpt_latest.pkl
full | psport2w2W7 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W7/ckpt_latest.pkl
full | psport2w2W7 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W7/ckpt_latest.pkl
